bricklink_minifig_id,avg_price,min_price,max_price
njo0234,1.6046,0.7262,6.3668
njo0235,7.6158,3.3696,53.8700
njo0236,5.4272,2.1786,29.9900
njo0237,26.6997,13.5995,84.8850
njo0238,7.3823,3.9715,21.0270
njo0239,4.7305,1.9632,30.7600
njo0240,4.1505,1.8106,8.0000
njo0241,17.7123,2.8424,98.2100
njo0242,20.9649,7.4141,96.4400
njo0243,6.8621,2.9350,47.2100
njo0244,5.7171,2.7252,42.8100
njo0245,8.8248,2.3770,26.0350
njo0246,6.8277,3.2813,56.9600
njo0247,5.4313,2.9203,9.9900
njo0248,27.2306,11.4391,49.9500
njo0249,8.8794,2.3362,65.4000
njo0251,12.7373,2.8343,97.5900
njo0253,219.7764,122.6359,349.9500
njo0254,19.5227,9.9289,68.8700
njo0255,42.9755,8.1767,272.4560
njo0256,39.0731,15.7694,126.6600
njo0257,9.9932,5.3167,114.8200
njo0258,37.0649,14.0172,69.8534
njo0259,17.0924,10.7878,39.9900
njo0260,14.7333,5.5000,72.9300
njo0262,42.8962,11.6810,133.6000
njo0263,12.4184,5.8896,58.2000
njo0264,3.4386,1.4601,33.8400
njo0265,43.9066,7.7457,222.8000
njo0266,7.9309,2.5827,65.2600
njo0267,2.3443,0.5841,24.7600
njo0268,2.9297,1.5076,22.8800
njo0269,4.0255,2.2500,15.0000
njo0271,4.5674,1.7500,14.2122
njo0272,17.4073,3.4990,106.0500
njo0273,166.8784,120.0000,488.9800
njo0274,6.0768,1.5185,39.8000
njo0275,3.6107,0.2000,22.1384
njo0276,4.5695,1.4524,32.9000
njo0277,24.8162,2.0439,146.9810
njo0278,28.2717,10.7465,216.2200
njo0279,57.1632,32.1228,201.6000
njo0280,10.6951,2.7047,70.2400
njo0281,14.2939,3.2703,153.9700
njo0282,21.6261,4.5313,158.9200
njo0283,24.4496,4.6607,131.3700
njo0284,27.2440,10.5129,51.8230
njo0285,10.9533,3.2940,80.9200
njo0286,21.8412,10.8931,169.8700
njo0287,10.7042,2.3846,27.0000
njo0288,23.0890,11.6693,159.2000
njo0289,21.6258,9.3331,104.3100
njo0290,6.3273,3.9990,19.9500
njo0291,113.7109,57.2253,199.9700
njo0292,117.1879,66.8085,340.5870
njo0293,5.2131,2.0313,33.3500
njo0294,7.4110,2.6338,43.1600
njo0295,3.8746,0.9078,27.4000
njo0296,5.0640,2.5000,47.7700
njo0297,10.1448,3.3758,82.0600
njo0298,49.3873,28.4015,136.1939
njo0299,51.0776,23.3620,136.1939
njo0300,39.2940,15.0000,136.1939
njo0301,27.5479,12.2651,196.8600
njo0302,6.8700,2.0932,26.4900
njo0303,23.3831,9.9900,35.0000
njo0304,5.4299,1.8750,16.9900
njo0305,8.3451,2.3724,29.4900
njo0306,8.1303,2.3627,64.7600
njo0307,37.3760,11.6693,65.0000
njo0308,7.1595,4.0879,19.0631
njo0309,18.2046,7.4363,159.4800
njo0310,8.2575,2.5000,59.3800
njo0311,3.2590,1.2500,47.2300
njo0312,4.0294,1.5803,62.8800
njo0313,5.0318,1.8750,18.3600
njo0314,3.9981,2.0313,10.0000
njo0315,6.6494,2.8424,60.6900
njo0316,2.6955,0.8500,19.9900
njo0317,3.2419,1.5823,30.2900
njo0318,2.7988,1.0513,32.5200
njo0319,4.9210,1.8750,42.8400
njo0320,8.9170,2.4335,95.4200
njo0321,8.6698,3.8547,37.7100
njo0322,6.0668,2.9203,44.5900
njo0323,5.0600,2.1875,10.7949
njo0324,6.1181,2.9688,46.8000
njo0325,2.1690,1.0200,24.2800
njo0326,4.9481,2.5000,28.0000
njo0327,107.2669,63.3054,363.8300
njo0328,5.6073,2.9018,10.0000
njo0329,9.3674,4.4280,71.7400
njo0330,7.1354,3.1539,34.8100
njo0331,5.8123,2.8790,35.2700
njo0332,16.7920,9.9417,31.4900
njo0333,14.2396,5.5867,78.6400
njo0334,27.5265,5.0000,122.4300
njo0335,9.8683,3.7500,43.7400
njo0336,10.8845,2.5032,46.6300
njo0337,4.4874,2.3438,31.7000
njo0338,3.1087,0.9375,19.9900
njo0339,7.9705,3.5323,63.5300
njo0340,18.8844,7.9486,68.7800
njo0341,2.0683,0.7262,23.4100
njo0342,3.9474,2.7451,8.0000
njo0343,4.5305,1.8395,36.3100
njo0344,5.9188,2.2892,33.8800
njo0346,5.3409,2.9259,50.8800
njo0347,2.5902,0.6813,21.0000
njo0348,2.7365,1.0901,15.0000
njo0349,2.3088,0.6250,26.0100
njo0350,3.6334,1.0535,28.6100
njo0351,4.1064,1.7522,43.2000
njo0352,5.6160,2.6165,62.5300
njo0353,4.5444,1.5625,42.9900
njo0354,4.1285,1.2500,37.0100
njo0355,3.2537,1.2264,18.0500
njo0356,1.9930,0.7009,23.7200
njo0357,1.9506,0.7631,33.4502
njo0358,2.9143,1.0901,24.4100
njo0359,4.5645,2.4527,38.1800
njo0360,2.4771,0.7813,28.0000
njo0361,3.5554,1.4063,42.2100
njo0362,2.9105,1.5625,31.7000
njo0363,3.8770,1.7522,39.5300
njo0364,10.7984,5.2741,118.0100
njo0365,4.1628,1.4063,39.2200
njo0366,4.1021,1.9560,38.7100
njo0367,4.2639,1.5769,36.6200
njo0368,34.9012,14.5241,266.0200
njo0369,7.0251,2.6785,93.6200
njo0370,8.2679,3.6310,65.8900
njo0371,7.7603,2.8424,76.0100
njo0372,5.4143,2.6549,43.9900
njo0373,5.1461,3.9992,8.9500
njo0374,5.0168,1.9900,17.5000
njo0375,4.8208,2.2086,81.4900
njo0376,3.7484,1.5750,39.0200
njo0377,6.1291,3.0000,61.9100
njo0378,6.7976,3.1250,58.0200
njo0379,3.8709,1.7609,30.7300
njo0380,1.9862,0.9345,18.6200
njo0381,5.0687,2.4530,48.6300
njo0382,28.4947,17.5257,180.0100
njo0383,62.0514,35.0314,280.6900
